web-scraper-order,web-scraper-start-url,domainLink,domainLink-href,siteName,Category
"1540623302-935","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","bratcoin.com","https://www.snapnames.com/domain/bratcoin.com.action","bratcoin.com","Finance > Finance"
"1540622412-648","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","leaderswiki.com","https://www.snapnames.com/domain/leaderswiki.com.action","leaderswiki.com","Technology > Tech"
"1540623456-984","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","aredrive.com","https://www.snapnames.com/domain/aredrive.com.action","aredrive.com","Transportation > Travel"
"1540623543-1008","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","accidentbiz.com","https://www.snapnames.com/domain/accidentbiz.com.action","accidentbiz.com","Business > Business"
"1540623053-855","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","dbroyale.com","https://www.snapnames.com/domain/dbroyale.com.action","dbroyale.com","Technology > Tech"
"1540623247-917","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","camshaven.com","https://www.snapnames.com/domain/camshaven.com.action","camshaven.com","Entertainment > Video"
"1540622563-697","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","hungrystocks.com","https://www.snapnames.com/domain/hungrystocks.com.action","hungrystocks.com","FoodAndDrink > Food"
"1540622431-654","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","ladyac.com","https://www.snapnames.com/domain/ladyac.com.action","ladyac.com","People > People"
"1540622147-563","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","ninetieth.net","https://www.snapnames.com/domain/ninetieth.net.action","ninetieth.net","null"
"1540622415-649","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","lawsdogs.com","https://www.snapnames.com/domain/lawsdogs.com.action","lawsdogs.com","Society > Legal"
"1540622084-543","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","otugu.com","https://www.snapnames.com/domain/otugu.com.action","otugu.com","null"
"1540622127-557","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","noteszoo.com","https://www.snapnames.com/domain/noteszoo.com.action","noteszoo.com","PlantsAndAnimals > Animals"
"1540623083-865","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","cubesheets.com","https://www.snapnames.com/domain/cubesheets.com.action","cubesheets.com","HomeAndGarden > Home"
"1540622826-782","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","faxtraining.com","https://www.snapnames.com/domain/faxtraining.com.action","faxtraining.com","Technology > Tech"
"1540622761-761","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","forproshop.com","https://www.snapnames.com/domain/forproshop.com.action","forproshop.com","Shopping > Shopping"
"1540623407-968","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","azerbaijanblog.com","https://www.snapnames.com/domain/azerbaijanblog.com.action","azerbaijanblog.com","Technology > Blogs"
"1540622218-586","https://www.snapnames.com/store/Daily-Deals.action?sid=1540620071791","mumbody.com","https://www.snapnames.com/domain/mumbody.com.action","mumbody.com","PlantsAndAnimals > Flowers"
